order_id,first_name,last_name,gender,email,shoe_type,shoe_material,shoe_color,price,amount
54791,Rebecca,Lindsay,female,RebeccaLindsay57@hotmail.com,clogs,faux-leather,black,75,1
53450,Emily,Joyce,female,EmilyJoyce25@gmail.com,ballet flats,faux-leather,navy,36,1
91987,Joyce,Waller,female,Joyce.Waller@gmail.com,sandles,fabric,black,55,1
14437,Justin,Erickson,male,Justin.Erickson@outlook.com,clogs,faux-leather,red,49,2
79357,Andrew,Banks,male,AB4318@gmail.com,boots,leather,brown,59,1
52386,Julie,Marsh,female,JulieMarsh59@gmail.com,sandles,fabric,black,39,2
20487,Thomas,Jensen,male,TJ5470@gmail.com,clogs,fabric,navy,45,1
76971,Janice,Hicks,female,Janice.Hicks@gmail.com,clogs,faux-leather,navy,62,1
21586,Gabriel,Porter,male,GabrielPorter24@gmail.com,clogs,leather,brown,105,1
62083,Frances,Palmer,female,FrancesPalmer50@gmail.com,wedges,leather,white,36,1
91629,Jessica,Hale,female,JessicaHale25@gmail.com,clogs,leather,red,72,1
98602,Lawrence,Parker,male,LawrenceParker44@gmail.com,wedges,fabric,brown,65,1
45832,Susan,Dennis,female,SusanDennis58@gmail.com,ballet flats,fabric,white,49,2
33862,Diane,Ochoa,female,DO2680@gmail.com,sandles,fabric,red,55,1
73431,Rebecca,Charles,female,Rebecca.Charles@gmail.com,boots,faux-leather,white,45,2
93889,Jacqueline,Crane,female,JC2072@hotmail.com,wedges,fabric,red,79,1
39888,Vincent,Stephenson,male,VS4753@outlook.com,boots,leather,black,39,3
35961,Roy,Tillman,male,RoyTillman20@gmail.com,boots,leather,white,48,1
24560,Thomas,Roberson,male,Thomas.Roberson@gmail.com,wedges,fabric,red,57,1
28559,Angela,Newton,female,ANewton1977@outlook.com,wedges,fabric,red,63,1
